phid,name,division,state,party,ceased_date,house
2L6,Mark Bishop,,WA,ALP,2014-06-30,senate
4L6,Alan Eggleston,,WA,LIB,2014-06-30,senate
7L6,John Hogg,,Qld,ALP,2014-06-30,senate
G1N,Helen Kroger,,Vic,LIB,2014-06-30,senate
H6V,Sue Boyce,,Qld,LIB,2014-06-30,senate
I0P,Mark Furner,,Qld,ALP,2014-06-30,senate
YE4,Ron Boswell,,Qld,NP ,2014-06-30,senate
83T,Kevin Rudd,Griffith,Qld,ALP,2013-11-22,reps
WX4,Bob Carr,,NSW,ALP,2013-10-24,senate
00AMU,Sophie Mirabella (formerly Panopoulos),Indi,Vic,LIB,2013-09-07,reps
0V5,Peter Slipper,Fisher,Qld,IND,2013-09-07,reps
172770,Laura Smyth,La Trobe,Vic,ALP,2013-09-07,reps
4T4,Daryl Melham,Banks,NSW,ALP,2013-09-07,reps
83D,John Murphy,Reid,NSW,ALP,2013-09-07,reps
849,Sid Sidebottom,Braddon,Tas,ALP,2013-09-07,reps
BV5,Dick Adams,Lyons,Tas,ALP,2013-09-07,reps
HVN,Yvette D'ath,Petrie,Qld,ALP,2013-09-07,reps
HVW,David Bradbury,Lindsay,NSW,ALP,2013-09-07,reps
HVY,Janelle Saffin,Page,NSW,ALP,2013-09-07,reps
HVZ,Craig Thomson,Dobell,NSW,IND,2013-09-07,reps
HW7,Darren Cheeseman,Corangamite,Vic,ALP,2013-09-07,reps
HW8,Mike Symon,Deakin,Vic,ALP,2013-09-07,reps
M38,Geoff Lyons,Bass,Tas,ALP,2013-09-07,reps
7Y6,Trish Crossin,,NT,ALP,2013-09-06,senate
KO6,Gary Humphries,,ACT,LIB,2013-09-06,senate
009LP,Tony Windsor,New England,NSW,IND,2013-08-05,reps
00AMP,Sharon Grierson,Newcastle,NSW,ALP,2013-08-05,reps
4V5,Judi Moylan,Pearce,WA,LIB,2013-08-05,reps
5V5,Stephen Smith,Perth,WA,ALP,2013-08-05,reps
83A,Kirsten Livermore,Capricornia,Qld,ALP,2013-08-05,reps
83K,Nicola Roxon,Gellibrand,Vic,ALP,2013-08-05,reps
83L,Julia Gillard,Lalor,Vic,ALP,2013-08-05,reps
83Q,Alby Schultz,Hume,NSW,LIB,2013-08-05,reps
83V,Craig Emerson,Rankin,Qld,ALP,2013-08-05,reps
83X,Steve Gibbons,Bendigo,Vic,ALP,2013-08-05,reps
848,Patrick Secker,Barker,SA,LIB,2013-08-05,reps
84F,Mal Washer,Moore,WA,LIB,2013-08-05,reps
84T,Barry Haase,Durack,WA,LIB,2013-08-05,reps
AK6,Joanna Gash,Gilmore,NSW,LIB,2013-08-05,reps
DT4,Simon Crean,Hotham,Vic,ALP,2013-08-05,reps
HH4,Harry Jenkins,Scullin,Vic,ALP,2013-08-05,reps
HV4,Peter Garrett,Kingsford Smith,NSW,ALP,2013-08-05,reps
IYS,Rob Oakeshott,Lyne,NSW,IND,2013-08-05,reps
JK6,Robert Mcclelland,Barton,NSW,ALP,2013-08-05,reps
KV5,Paul Neville,Hinkler,Qld,NP ,2013-08-05,reps
LS4,Martin Ferguson,Batman,Vic,ALP,2013-08-05,reps
M3K,Tony Crook,O'Connor,WA,NP ,2013-08-05,reps
NV5,John Forrest,Mallee,Vic,NP ,2013-08-05,reps
YW6,Greg Combet,Charlton,NSW,ALP,2013-08-05,reps
ZT4,Alexander Somlyay,Fairfax,Qld,LIB,2013-08-05,reps
AX5,Chris Evans,,WA,ALP,2013-04-12,senate
HBE,Mary Fisher,,SA,LIB,2012-08-14,senate
QD4,Bob Brown,,Tas,GRN,2012-06-15,senate
ZW4,Nick Sherry,,Tas,ALP,2012-06-01,senate
E4Q,Judith Adams,,WA,LIB,2012-03-31,senate
HES,Mark Arbib,,NSW,ALP,2012-03-05,senate
2M6,Helen Coonan,,NSW,LIB,2011-08-22,senate
00AUF,Guy Barnett,,Tas,LIB,2011-06-30,senate
656,Michael Forshaw,,NSW,ALP,2011-06-30,senate
84P,Steve Hutchins,,NSW,ALP,2011-06-30,senate
8O6,Kerry O'brien,,Tas,ALP,2011-06-30,senate
E4R,Steven Fielding,,Vic,FFP,2011-06-30,senate
E4U,Annette Hurley,,SA,ALP,2011-06-30,senate
E6A,Russell Trood,,Qld,LIB,2011-06-30,senate
E6C,Dana Wortley,,SA,ALP,2011-06-30,senate
EP5,Alan Ferguson,,SA,LIB,2011-06-30,senate
GX5,Judith Troeth,,Vic,LIB,2011-06-30,senate
JX4,Nick Minchin,,SA,LIB,2011-06-30,senate
WH4,Julian Mcgauran,,Vic,LIB,2011-06-30,senate
00AMX,Michael Johnson,Ryan,Qld,IND,2010-08-21,reps
00AN2,Sharryn Jackson,Hasluck,WA,ALP,2010-08-21,reps
BP4,Maxine Mckew,Bennelong,NSW,ALP,2010-08-21,reps
ET4,Arch Bevis,Brisbane,Qld,ALP,2010-08-21,reps
HVQ,Brett Raguse,Forde,Qld,ALP,2010-08-21,reps
HVR,Kerry Rea,Bonner,Qld,ALP,2010-08-21,reps
HVS,Jon Sullivan,Longman,Qld,ALP,2010-08-21,reps
HVU,Chris Trevor,Flynn,Qld,ALP,2010-08-21,reps
HVV,Jim Turnour,Leichhardt,Qld,ALP,2010-08-21,reps
HWD,Damian Hale,Solomon,NT,ALP,2010-08-21,reps
SJ4,Wilson Tuckey,O'Connor,WA,LIB,2010-08-21,reps
00AMO,Patrick Farmer,Macarthur,NSW,LIB,2010-07-19,reps
5I4,Robert Mcmullan,,ACT,ALP,2010-07-19,senate
5K6,Annette Ellis,Canberra,ACT,ALP,2010-07-19,reps
83B,Margaret May,McPherson,Qld,LIB,2010-07-19,reps
83O,Kay Hull,Riverina,NSW,NP ,2010-07-19,reps
83Z,Julia Irwin,Fowler,NSW,ALP,2010-07-19,reps
8H4,David Hawker,Wannon,Vic,LIB,2010-07-19,reps
8IS,Bob Debus,Macquarie,NSW,ALP,2010-07-19,reps
A8W,Chris Pearce,Aston,Vic,LIB,2010-07-19,reps
B36,Belinda Neal,,NSW,ALP,2010-07-19,senate
HK6,Peter Lindsay,Herbert,Qld,LIB,2010-07-19,reps
HM5,Petro Georgiou,Kooyong,Vic,LIB,2010-07-19,reps
HVM,James Bidgood,Dawson,Qld,ALP,2010-07-19,reps
HWC,Jodie Campbell,Bass,Tas,ALP,2010-07-19,reps
JH5,Jennie George,Throsby,NSW,ALP,2010-07-19,reps
JT4,Fran Bailey,McEwen,Vic,LIB,2010-07-19,reps
QI4,Leo Price,Chifley,NSW,ALP,2010-07-19,reps
RH4,Duncan Kerr,Denison,Tas,ALP,2010-07-19,reps
VK6,Danna Vale,Hughes,NSW,LIB,2010-07-19,reps
YU5,Lindsay Tanner,Melbourne,Vic,ALP,2010-07-19,reps
CT4,Peter Costello,Higgins,Vic,LIB,2009-10-19,reps
RW5,Brendan Nelson,Bradfield,NSW,LIB,2009-10-19,reps
9X5,Chris Ellison,,WA,LIB,2009-01-30,senate
SU5,Mark Vaile,Lyne,NSW,NP ,2008-07-30,reps
4G4,Alexander Downer,Mayo,SA,LIB,2008-07-14,reps
00AOO,Linda Kirk,,SA,ALP,2008-06-30,senate
00AOR,Kerry Nettle,,NSW,GRN,2008-06-30,senate
00AOT,Ruth Webber,,WA,ALP,2008-06-30,senate
1M6,Lyn Allison,,Vic,AD ,2008-06-30,senate
3I6,Natasha Stott Despoja,,SA,AD ,2008-06-30,senate
3M6,Andrew Murray,,WA,AD ,2008-06-30,senate
CX5,Sandy Macdonald,,NSW,NP ,2008-06-30,senate
FF4,Hedley Chapman,,SA,LIB,2008-06-30,senate
LI4,Kay Patterson,,Vic,LIB,2008-06-30,senate
NB5,George Campbell,,NSW,ALP,2008-06-30,senate
VJ4,John Watson,,Tas,LIB,2008-06-30,senate
WP6,Philip Lightfoot,,WA,LIB,2008-06-30,senate
WW4,Rod Kemp,,Vic,LIB,2008-06-30,senate
UI4,Robert Ray,,Vic,ALP,2008-05-05,senate
XH4,Peter Mcgauran,Gippsland,Vic,NP ,2008-04-09,reps
00AN4,David Tollner,Solomon,NT,LIB,2007-11-24,reps
00ANF,Kenneth Ticehurst,Dobell,NSW,LIB,2007-11-24,reps
0K6,Kerry Bartlett,Macquarie,NSW,LIB,2007-11-24,reps
84C,Cameron Thompson,Blair,Qld,LIB,2007-11-24,reps
84G,Kim Wilkie,Swan,WA,ALP,2007-11-24,reps
CK6,Gary Hardgrave,Moreton,Qld,LIB,2007-11-24,reps
DYH,Michael Ferguson,Bass,Tas,LIB,2007-11-24,reps
DYK,Mark Baker,Braddon,Tas,LIB,2007-11-24,reps
E0B,Kym Richardson,Kingston,SA,LIB,2007-11-24,reps
E0L,Stuart Henry,Hasluck,WA,LIB,2007-11-24,reps
FK6,De-anne Kelly,Dawson,Qld,NP ,2007-11-24,reps
IK6,Jim Lloyd,Robertson,NSW,LIB,2007-11-24,reps
OK6,Gary Nairn,Eden-Monaro,NSW,LIB,2007-11-24,reps
VH4,Fergus Mcarthur,Corangamite,Vic,LIB,2007-11-24,reps
WU5,Gavan O'connor,Corio,Vic,IND,2007-11-24,reps
ZD4,John Howard,Bennelong,NSW,LIB,2007-11-24,reps
ZJ6,Phillip Barresi,Deakin,Vic,LIB,2007-11-24,reps
009CW,Ann Corcoran,Isaacs,Vic,ALP,2007-10-17,reps
0L6,Trish Draper,Makin,SA,LIB,2007-10-17,reps
3J4,Rodney Sawford,Port Adelaide,SA,ALP,2007-10-17,reps
4K4,John Anderson,Gwydir,NSW,NP ,2007-10-17,reps
4K6,Ian Causley,Page,NSW,NP ,2007-10-17,reps
6K6,Kay Elson,Forde,Qld,LIB,2007-10-17,reps
83R,Graham Edwards,Cowan,WA,ALP,2007-10-17,reps
83Y,Kelly Hoare,Charlton,NSW,ALP,2007-10-17,reps
AV5,Harry Quick,Franklin,Tas,IND,2007-10-17,reps
GK6,Jackie Kelly,Lindsay,NSW,LIB,2007-10-17,reps
HV5,Barry Wakelin,Grey,SA,LIB,2007-10-17,reps
KL6,Peter Andren,Calare,NSW,IND,2007-10-17,reps
LN6,Michael Hatton,Blaxland,NSW,ALP,2007-10-17,reps
MH4,David Jull,Fadden,Qld,LIB,2007-10-17,reps
MP6,Bruce Baird,Cook,NSW,LIB,2007-10-17,reps
PE4,Kim Beazley,Brand,WA,ALP,2007-10-17,reps
